,Negative,Neutral,Positive
"La mamma mi sveglia, informandomi che siamo arrivati.",0.0014691216638311744,0.9922337532043457,0.0062971883453428745
«Cazzo.» dico stiracchiandomi.,0.15471641719341278,0.8438825011253357,0.001400987384840846
Mi fa male tutto.,0.9849494695663452,0.013555188663303852,0.0014953149948269129
"«Signorina, ma che linguaggio usi?» mi rimprovera mia mamma, guardandomi dallo specchietto.",0.00906288716942072,0.9904226064682007,0.0005145050818100572
"Guardo fuori dal finestrino per non incontrare il suo sguardo, il paesaggio che mi circonda non è per niente come quello di Manhattan.",0.050559837371110916,0.20025230944156647,0.7491878867149353
"Le ragazze girano in bikini, il mare è limpido e riflette il sole che sta tramontando.",0.00026082017575390637,0.05172937363386154,0.9480097889900208
"Sento caldo, così sfilo il maglione che ho indosso.",0.05086517333984375,0.7049576044082642,0.24417711794376373
"Ragazzi a petto nudo camminano con le tavole da surf sottobraccio, con i capelli zuppi e i corpi gocciolanti.",0.15302790701389313,0.8439317941665649,0.003040258539840579
"Si, è tutto molto bello.",0.00013716948160436004,0.0013280684361234307,0.9985347986221313
Ma non fa per me.,0.6283707618713379,0.35982391238212585,0.011805402114987373
La mia più grande paura è sempre stata trasferirmi.,0.7749387621879578,0.19329141080379486,0.03176979720592499
"Non avrei mai voluto lasciare la mia città, i miei familiari, i miei amici, la mia scuola, che nonostante odiassi, mi aveva accompagnata fino ai miei diciassette anni.",0.07199802249670029,0.0738634318113327,0.8541384935379028
"E invece ora mi trovo in California, a Los Angeles.",0.0006411451031453907,0.9904884099960327,0.008870432153344154
Ci siamo trasferiti qua a causa del lavoro di mio padre.,0.002507589291781187,0.9938021898269653,0.0036901819985359907
"La mamma non lo voleva lontano da sè e ha preso la decisione di trasferirci tutti perché ""nessuno va lasciato da solo"".",0.008953161537647247,0.9886184930801392,0.0024283993989229202
"La cosa che mi fa più imbestialire è il fatto che tutto questo sia sato progettato alle mie spalle, e la sottoscritta è stata avvisata soltanto trenta giorni prima del trasferimento.",0.8906366229057312,0.10260453820228577,0.0067588649690151215
"Non potei neanche obiettare, il nostro piccolo appartamento era già stato messo in vendita e la nostra casa qua in California era già pronta.",0.0020192426163703203,0.3090147078037262,0.6889660358428955
